labels,a.8e9z-i.4u15
"x2ee, x3ee, x4ee",9.92
"x2ee, x3ee, xEL2",8.98
"x2ee, x3ee, x5ee",9.01
"x2ee, x3ee, x6ee",-10.63
"x2ee, x3ee, x7ee",1.85
"x2ee, x4ee, xEL2",20.60
"x2ee, x4ee, x5ee",-17.53
"x2ee, x4ee, x6ee",-36.53
"x2ee, x4ee, x7ee",1.04
"x2ee, xEL2, x5ee",-20.31
"x2ee, xEL2, x6ee",-71.57
"x2ee, xEL2, x7ee",-10.04
"x2ee, x5ee, x6ee",-1.58
"x2ee, x5ee, x7ee",28.31
"x2ee, x6ee, x7ee",23.66
"x3ee, x4ee, xEL2",17.77
"x3ee, x4ee, x5ee",-15.01
"x3ee, x4ee, x6ee",-17.41
"x3ee, x4ee, x7ee",9.02
"x3ee, xEL2, x5ee",39.12
"x3ee, xEL2, x6ee",-51.75
"x3ee, xEL2, x7ee",-2.88
"x3ee, x5ee, x6ee",16.10
"x3ee, x5ee, x7ee",34.95
"x3ee, x6ee, x7ee",11.17
"x4ee, xEL2, x5ee",27.95
"x4ee, xEL2, x6ee",0.07
"x4ee, xEL2, x7ee",10.53
"x4ee, x5ee, x6ee",16.83
"x4ee, x5ee, x7ee",9.84
"x4ee, x6ee, x7ee",-13.69
"xEL2, x5ee, x6ee",5.51
"xEL2, x5ee, x7ee",-11.84
"xEL2, x6ee, x7ee",-37.77
"x5ee, x6ee, x7ee",-6.23
