labels,a.8dpf,a.8dpg,i.6bqh,a.8dpf-i.6bqh,a.8dpg-i.6bqh
"x2ee, x3ee, x4ee, x5ee",146.63,144.32,151.04,-4.41,-6.71
"x2ee, x3ee, x4ee, x6ee",213.50,210.33,238.72,-25.22,-28.38
"x2ee, x3ee, x4ee, x7ee",155.32,153.20,166.14,-10.82,-12.93
"x2ee, x3ee, x5ee, x6ee",202.54,200.62,230.90,-28.36,-30.28
"x2ee, x3ee, x5ee, x7ee",189.42,188.53,204.41,-14.99,-15.88
"x2ee, x3ee, x6ee, x7ee",162.42,160.94,177.46,-15.04,-16.51
"x2ee, x4ee, x5ee, x6ee",232.53,232.04,248.98,-16.44,-16.94
"x2ee, x4ee, x5ee, x7ee",218.26,218.85,222.32,-4.06,-3.47
"x2ee, x4ee, x6ee, x7ee",229.90,228.82,246.56,-16.66,-17.74
"x2ee, x5ee, x6ee, x7ee",152.42,152.11,175.79,-23.38,-23.68
"x3ee, x4ee, x5ee, x6ee",136.07,135.04,150.02,-13.95,-14.98
"x3ee, x4ee, x5ee, x7ee",164.52,163.43,176.90,-12.39,-13.47
"x3ee, x4ee, x6ee, x7ee",175.12,172.40,200.79,-25.67,-28.40
"x3ee, x5ee, x6ee, x7ee",163.99,162.46,193.10,-29.11,-30.64
"x4ee, x5ee, x6ee, x7ee",143.31,142.86,160.36,-17.05,-17.49
